順位,名前,動画,レス,pixiv,検索,得点,前回
472,飯田ショーフキン,5,3,0,115,7,445
473,明(淫夢),4,4,0,589,7,
474,谷(淫夢),6,1,0,43,7,447
475,偽遠野,5,2,0,424,6,358
476,マッチョの弟の兄貴,4,4,0,251,6,381
477,SNY,5,0,0,1190,6,461
478,プリケツブラザーズ,4,4,0,184,6,320
479,YSKN,5,2,0,175,6,451
480,ザビエル河童,4,4,0,103,6,
481,UNNNNNBR,4,4,0,91,6,468
482,でかちん父さん,3,6,0,77,6,502
483,花澤香菜(淫夢),4,4,0,65,6,437
484,16番(淫夢),5,2,0,55,6,405
485,津田君,3,6,0,36,6,465
486,TDN弟の周りを飛ぶ大きめの虫くん,4,4,0,31,6,450
487,手錠男,5,1,0,181,6,462
488,吉川シケタ,5,1,0,51,6,456
489,ペガサスSIY,4,3,0,47,6,474
490,ヨシヒコ(SP),5,1,0,46,6,449
491,FJNM,4,2,0,209,5,469
492,アラブ系スイマー兄貴,4,2,0,84,5,394
493,羽生結弦(淫夢),2,6,0,60,5,383
494,長井大,5,0,0,54,5,453
495,ティッシュ配り命の男っぽい剛史君,2,6,0,35,5,440
496,あらた(淫夢),2,6,0,8,5,466
496,イアン(淫夢),4,2,0,8,5,420
498,サムソン高橋,3,3,0,377,5,223
499,MUR父,3,3,0,132,5,454
500,加納コーチ,4,1,0,68,5,457
501,横原ゴリジュニア,4,1,0,37,5,475
502,偽茶髪チャラ男,4,1,0,9,5,476
503,望月輝,3,0,1,404,4,361
504,野獣叔父,3,2,0,376,4,230
505,KYN弟(AKNM),1,6,0,308,4,186
506,八神レイ,0,8,0,146,4,
507,佐藤翔太,4,0,0,126,4,499
508,傘くん,3,2,0,116,4,483
509,ゆたぼん(淫夢),2,4,0,111,4,
510,横井ルイ,4,0,0,81,4,464
511,硝子君,3,2,0,68,4,482
512,KWBT(淫夢),3,2,0,57,4,480
513,辰己(淫夢),4,0,0,51,4,486
513,QPちゃん,3,0,1,51,4,386
515,金子君,2,0,2,33,4,531
516,吉永透(SP),2,4,0,10,4,501
517,元祖野獣,1,5,0,427,4,498
518,偽KMR,3,1,0,291,4,471
519,星条旗兄貴,2,3,0,168,4,478
520,DB亜種,3,1,0,161,4,488
521,OCBGC,2,3,0,122,4,481
522,黄色パーカー君,3,1,0,85,4,472
523,宮野真守(淫夢),2,3,0,60,4,431
524,通過一般人兄貴,1,5,0,58,4,491
525,炎獣魔神,3,1,0,49,4,432
526,超あきら,3,1,0,45,4,496
527,ヤマネ(淫夢),3,1,0,44,4,477
528,MSKW,2,2,0,198,3,490
529,色違いネクデカパンツ兄貴,1,4,0,180,3,514
530,ローライズ君,3,0,0,143,3,489
531,OTTK,3,0,0,116,3,479
532,石川(淫夢),2,2,0,54,3,516
532,ゴルニャン(淫夢),3,0,0,54,3,
534,爽やか若リーマン君,2,2,0,53,3,500
535,MUR兄,2,2,0,39,3,512
536,PG59メインモデル,2,1,0,285,3,504
537,野獣社員,1,3,0,184,3,503
538,こんなウブそうな男の子,1,3,0,162,3,506
539,YSDKN,2,1,0,63,3,505
540,Syamu_Game(淫夢),2,0,0,545,3,
541,通過一般自転車兄貴,1,3,0,30,3,511
542,MSOさん,1,3,0,9,3,535
543,今どきのドレッドくん,1,3,0,8,3,495
544,幻の15人目,0,5,0,7,3,518
544,タカノリ(SP),2,1,0,7,3,470
546,クラウド(COAT),2,1,0,6,3,507
546,TEPPEI(COAT),2,1,0,6,3,487
548,YKSMR,2,0,0,94,2,513
549,MTMTKY,2,0,0,82,2,463
550,山本優心,2,0,0,72,2,509
551,INUEの同級生,2,0,0,49,2,517
552,オモチャ大好きサーファーBOY,2,0,0,46,2,519
553,八神蒼介,1,2,0,42,2,530
554,HYDIN,1,2,0,36,2,547
555,グラサン男(SP),1,2,0,7,2,528
556,勇武(COAT),2,0,0,6,2,537
557,メガデス白衣戦闘員,0,2,0,895,2,534
558,偽AKYS,1,1,0,267,2,523
559,石川太陽,1,1,0,202,2,522
560,KMR(野獣叔父),1,1,0,188,2,527
561,吉永透のストーカー,1,1,0,53,2,526
562,鈴木ツトム,1,1,0,35,2,525
563,オナアキの後ろにたたずむランプ,1,1,0,8,2,
564,YKYM(KNJN∞),1,1,0,4,2,543
565,遥亮(COAT),0,3,0,3,2,524
566,ボンバーARKW,1,0,0,216,1,532
567,アポロチョコ(淫夢),1,0,0,54,1,
567,ガテン系子持ち兄貴,1,0,0,54,1,533
569,野生派ハンサム青年達彦,1,0,0,42,1,521
570,誠司(COAT),1,0,0,10,1,520
571,雄生(COAT),1,0,0,7,1,539
571,覗かれたMの部屋の覗いてくるやつ,0,2,0,7,1,538
573,清田(淫夢),1,0,0,5,1,536
574,四人目の患者,0,1,0,482,1,541
575,アキオ(SP),0,1,0,310,1,544
576,唐澤貴洋(淫夢),0,1,0,39,1,
577,なだぎ武(ピース太郎),0,1,0,6,1,540
578,山崎(SP),0,1,0,5,1,542
579,KENTO(COAT),0,1,0,3,1,493
580,ユウジさん,0,0,0,270,0,546
581,赤色コート君,0,0,0,85,0,515
